Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
114,Dorian Finney-Smith\finnedo01,PF,27,DAL,43,1376,11.0,.568,.649,.092,6.0,13.1,9.6,6.6,1.3,1.4,7.1,11.8,,1.7,1.2,2.9,.101,,-0.5,0.0,-0.6,0.5
115,Andrew Wiggins\wiggian01,PF,25,GSW,56,1823,14.7,.568,.361,.235,3.2,12.3,7.8,11.2,1.4,2.6,10.4,23.3,,0.7,2.0,2.7,.070,,-0.2,-0.6,-0.8,0.6
116,Robert Covington\covinro01,PF,30,POR,52,1676,11.9,.566,.703,.118,2.5,20.2,11.1,7.1,2.4,3.6,11.8,12.2,,1.1,1.7,2.7,.078,,-1.3,1.3,0.0,0.9
117,De'Aaron Fox\foxde01,PG,23,SAC,55,1933,20.6,.566,.293,.374,1.7,9.3,5.4,32.3,2.0,1.1,12.1,30.9,,3.3,0.4,3.8,.093,,3.0,-1.5,1.4,1.7
118,Josh Hart\hartjo01,SF,25,NOP,47,1349,12.3,.566,.561,.259,4.4,26.4,15.5,10.5,1.4,0.9,11.3,13.6,,1.5,1.1,2.6,.092,,-1.1,0.0,-1.1,0.3
119,Julius Randle\randlju01,PF,26,NYK,55,2043,19.5,.566,.281,.324,3.9,27.0,15.4,27.5,1.2,0.7,14.5,28.4,,2.5,3.4,5.9,.138,,2.8,0.8,3.7,2.9
120,Malcolm Brogdon\brogdma01,PG,28,IND,48,1687,18.2,.565,.382,.171,3.2,12.6,7.9,26.1,1.3,0.5,9.8,25.6,,2.8,1.2,4.0,.114,,3.0,-1.4,1.7,1.6
121,Lonzo Ball\balllo01,PG,23,NOP,41,1300,15.6,.564,.655,.095,2.1,12.3,7.3,25.2,2.1,1.7,13.8,19.9,,1.7,0.9,2.6,.096,,1.7,-0.1,1.6,1.2
122,Marcus Smart\smartma01,PG,26,BOS,37,1203,15.0,.563,.547,.348,2.0,8.9,5.5,23.4,2.2,1.5,13.0,18.2,,2.0,1.1,3.1,.124,,0.4,0.2,0.5,0.8
123,LaMelo Ball\ballla01,PG,19,CHO,41,1174,18.6,.562,.411,.234,4.9,17.4,11.1,34.0,2.7,1.2,16.5,25.4,,1.4,1.5,2.9,.119,,1.9,0.8,2.7,1.4
